S.No.		a		b		Actual Area		Area Est.		Division(n)		Max-Error		Error		max[a,b]f''(x)
1		2		5		176.2500		176.2500		2		0.0000		0.0000		0.0000
2		2		5		176.2500		176.2500		4		0.0000		0.0000		0.0000
3		2		5		176.2500		176.2500		6		0.0000		0.0000		0.0000
4		2		5		176.2500		176.2500		8		0.0000		0.0000		0.0000
5		2		5		176.2500		176.2500		10		0.0000		-0.0000		0.0000
6		2		5		176.2500		176.2500		12		0.0000		0.0000		0.0000
7		2		5		176.2500		176.2500		14		0.0000		0.0000		0.0000
8		2		5		176.2500		176.2500		16		0.0000		0.0000		0.0000
9		2		5		176.2500		176.2500		18		0.0000		-0.0000		0.0000
10		2		5		176.2500		176.2500		20		0.0000		0.0000		0.0000
11		2		5		176.2500		176.2500		22		0.0000		-0.0000		0.0000
12		2		5		176.2500		176.2500		24		0.0000		0.0000		0.0000
13		2		5		176.2500		176.2500		26		0.0000		0.0000		0.0000
14		2		5		176.2500		176.2500		28		0.0000		-0.0000		0.0000
15		2		5		176.2500		176.2500		30		0.0000		0.0000		0.0000
16		2		5		176.2500		176.2500		32		0.0000		0.0000		0.0000
17		2		5		176.2500		176.2500		34		0.0000		0.0000		0.0000
18		2		5		176.2500		176.2500		36		0.0000		-0.0000		0.0000
19		2		5		176.2500		176.2500		38		0.0000		0.0000		0.0000
20		2		5		176.2500		176.2500		40		0.0000		-0.0000		0.0000
21		2		5		176.2500		176.2500		42		0.0000		-0.0000		0.0000
22		2		5		176.2500		176.2500		44		0.0000		0.0000		0.0000
23		2		5		176.2500		176.2500		46		0.0000		0.0000		0.0000
24		2		5		176.2500		176.2500		48		0.0000		0.0000		0.0000
25		2		5		176.2500		176.2500		50		0.0000		0.0000		0.0000
26		2		5		176.2500		176.2500		52		0.0000		0.0000		0.0000
27		2		5		176.2500		176.2500		54		0.0000		0.0000		0.0000
28		2		5		176.2500		176.2500		56		0.0000		0.0000		0.0000
29		2		5		176.2500		176.2500		58		0.0000		0.0000		0.0000
30		2		5		176.2500		176.2500		60		0.0000		0.0000		0.0000
31		2		5		176.2500		176.2500		62		0.0000		0.0000		0.0000
32		2		5		176.2500		176.2500		64		0.0000		0.0000		0.0000
33		2		5		176.2500		176.2500		66		0.0000		0.0000		0.0000
34		2		5		176.2500		176.2500		68		0.0000		0.0000		0.0000
35		2		5		176.2500		176.2500		70		0.0000		-0.0000		0.0000
36		2		5		176.2500		176.2500		72		0.0000		-0.0000		0.0000
37		2		5		176.2500		176.2500		74		0.0000		0.0000		0.0000
38		2		5		176.2500		176.2500		76		0.0000		0.0000		0.0000
39		2		5		176.2500		176.2500		78		0.0000		0.0000		0.0000
40		2		5		176.2500		176.2500		80		0.0000		0.0000		0.0000
41		2		5		176.2500		176.2500		82		0.0000		0.0000		0.0000
42		2		5		176.2500		176.2500		84		0.0000		0.0000		0.0000
43		2		5		176.2500		176.2500		86		0.0000		0.0000		0.0000
44		2		5		176.2500		176.2500		88		0.0000		0.0000		0.0000
45		2		5		176.2500		176.2500		90		0.0000		0.0000		0.0000
46		2		5		176.2500		176.2500		92		0.0000		0.0000		0.0000
47		2		5		176.2500		176.2500		94		0.0000		0.0000		0.0000
48		2		5		176.2500		176.2500		96		0.0000		0.0000		0.0000
49		2		5		176.2500		176.2500		98		0.0000		0.0000		0.0000
50		2		5		176.2500		176.2500		100		0.0000		0.0000		0.0000
