S.No.		a		b		Actual Area		Area Est.		Division(n)		Max-Error		Error		max[a,b]f''(x)
1		2		5		176.25		223.5		1		67.4865		47.25		29.994
2		2		5		176.25		188.062		2		16.8716		11.8125		29.994
3		2		5		176.25		181.5		3		7.4985		5.25		29.994
4		2		5		176.25		179.203		4		4.21791		2.95312		29.994
5		2		5		176.25		178.14		5		2.69946		1.89		29.994
6		2		5		176.25		177.562		6		1.87463		1.3125		29.994
7		2		5		176.25		177.214		7		1.37728		0.964286		29.994
8		2		5		176.25		176.988		8		1.05448		0.738281		29.994
9		2		5		176.25		176.833		9		0.833167		0.583333		29.994
10		2		5		176.25		176.722		10		0.674865		0.4725		29.994
11		2		5		176.25		176.64		11		0.55774		0.390496		29.994
12		2		5		176.25		176.578		12		0.468656		0.328125		29.994
13		2		5		176.25		176.53		13		0.399328		0.279586		29.994
14		2		5		176.25		176.491		14		0.344319		0.241071		29.994
15		2		5		176.25		176.46		15		0.29994		0.21		29.994
16		2		5		176.25		176.435		16		0.263619		0.18457		29.994
17		2		5		176.25		176.413		17		0.233517		0.163495		29.994
18		2		5		176.25		176.396		18		0.208292		0.145833		29.994
19		2		5		176.25		176.381		19		0.186943		0.130886		29.994
20		2		5		176.25		176.368		20		0.168716		0.118125		29.994
21		2		5		176.25		176.357		21		0.153031		0.107143		29.994
22		2		5		176.25		176.348		22		0.139435		0.097624		29.994
23		2		5		176.25		176.339		23		0.127574		0.0893195		29.994
24		2		5		176.25		176.332		24		0.117164		0.0820312		29.994
25		2		5		176.25		176.326		25		0.107978		0.0756		29.994
26		2		5		176.25		176.32		26		0.0998321		0.0698964		29.994
27		2		5		176.25		176.315		27		0.0925741		0.0648148		29.994
28		2		5		176.25		176.31		28		0.0860797		0.0602679		29.994
29		2		5		176.25		176.306		29		0.0802455		0.0561831		29.994
30		2		5		176.25		176.303		30		0.074985		0.0525		29.994
31		2		5		176.25		176.299		31		0.0702253		0.0491675		29.994
32		2		5		176.25		176.296		32		0.0659048		0.0461426		29.994
33		2		5		176.25		176.293		33		0.0619711		0.0433884		29.994
34		2		5		176.25		176.291		34		0.0583793		0.0408737		29.994
35		2		5		176.25		176.289		35		0.055091		0.0385714		29.994
36		2		5		176.25		176.286		36		0.0520729		0.0364583		29.994
37		2		5		176.25		176.285		37		0.0492962		0.0345142		29.994
38		2		5		176.25		176.283		38		0.0467358		0.0327216		29.994
39		2		5		176.25		176.281		39		0.0443698		0.0310651		29.994
40		2		5		176.25		176.28		40		0.0421791		0.0295312		29.994
41		2		5		176.25		176.278		41		0.0401466		0.0281083		29.994
42		2		5		176.25		176.277		42		0.0382577		0.0267857		29.994
43		2		5		176.25		176.276		43		0.0364989		0.0255544		29.994
44		2		5		176.25		176.274		44		0.0348587		0.024406		29.994
45		2		5		176.25		176.273		45		0.0333267		0.0233333		29.994
46		2		5		176.25		176.272		46		0.0318934		0.0223299		29.994
47		2		5		176.25		176.271		47		0.0305507		0.0213898		29.994
48		2		5		176.25		176.271		48		0.029291		0.0205078		29.994
49		2		5		176.25		176.27		49		0.0281077		0.0196793		29.994
50		2		5		176.25		176.269		50		0.0269946		0.0189		29.994
51		2		5		176.25		176.268		51		0.0259464		0.0181661		29.994
52		2		5		176.25		176.267		52		0.024958		0.0174741		29.994
53		2		5		176.25		176.267		53		0.0240251		0.0168209		29.994
54		2		5		176.25		176.266		54		0.0231435		0.0162037		29.994
55		2		5		176.25		176.266		55		0.0223096		0.0156198		29.994
56		2		5		176.25		176.265		56		0.0215199		0.015067		29.994
57		2		5		176.25		176.265		57		0.0207715		0.0145429		29.994
58		2		5		176.25		176.264		58		0.0200614		0.0140458		29.994
59		2		5		176.25		176.264		59		0.0193871		0.0135737		29.994
60		2		5		176.25		176.263		60		0.0187463		0.013125		29.994
61		2		5		176.25		176.263		61		0.0181367		0.0126982		29.994
62		2		5		176.25		176.262		62		0.0175563		0.0122919		29.994
63		2		5		176.25		176.262		63		0.0170034		0.0119048		29.994
64		2		5		176.25		176.262		64		0.0164762		0.0115356		29.994
65		2		5		176.25		176.261		65		0.0159731		0.0111834		29.994
66		2		5		176.25		176.261		66		0.0154928		0.0108471		29.994
67		2		5		176.25		176.261		67		0.0150337		0.0105257		29.994
68		2		5		176.25		176.26		68		0.0145948		0.0102184		29.994
69		2		5		176.25		176.26		69		0.0141749		0.00992439		29.994
70		2		5		176.25		176.26		70		0.0137728		0.00964286		29.994
71		2		5		176.25		176.259		71		0.0133875		0.00937314		29.994
72		2		5		176.25		176.259		72		0.0130182		0.00911458		29.994
73		2		5		176.25		176.259		73		0.012664		0.00886658		29.994
74		2		5		176.25		176.259		74		0.0123241		0.00862856		29.994
75		2		5		176.25		176.258		75		0.0119976		0.0084		29.994
76		2		5		176.25		176.258		76		0.011684		0.0081804		29.994
77		2		5		176.25		176.258		77		0.0113824		0.0079693		29.994
78		2		5		176.25		176.258		78		0.0110925		0.00776627		29.994
79		2		5		176.25		176.258		79		0.0108134		0.0075709		29.994
80		2		5		176.25		176.257		80		0.0105448		0.00738281		29.994
81		2		5		176.25		176.257		81		0.010286		0.00720165		29.994
82		2		5		176.25		176.257		82		0.0100367		0.00702707		29.994
83		2		5		176.25		176.257		83		0.00979627		0.00685876		29.994
84		2		5		176.25		176.257		84		0.00956441		0.00669643		29.994
85		2		5		176.25		176.257		85		0.00934069		0.00653979		29.994
86		2		5		176.25		176.256		86		0.00912473		0.00638859		29.994
87		2		5		176.25		176.256		87		0.00891617		0.00624257		29.994
88		2		5		176.25		176.256		88		0.00871468		0.0061015		29.994
89		2		5		176.25		176.256		89		0.00851995		0.00596516		29.994
90		2		5		176.25		176.256		90		0.00833167		0.00583333		29.994
91		2		5		176.25		176.256		91		0.00814956		0.00570583		29.994
92		2		5		176.25		176.256		92		0.00797336		0.00558247		29.994
93		2		5		176.25		176.255		93		0.00780281		0.00546306		29.994
94		2		5		176.25		176.255		94		0.00763768		0.00534744		29.994
95		2		5		176.25		176.255		95		0.00747773		0.00523546		29.994
96		2		5		176.25		176.255		96		0.00732275		0.00512695		29.994
97		2		5		176.25		176.255		97		0.00717255		0.00502179		29.994
98		2		5		176.25		176.255		98		0.00702692		0.00491983		29.994
